generation,candidate,score,mean_steps,std_steps,max_steps,min_steps,is_best
0,0,156.5,156.5,121.5,278.0,35.0,1
0,1,290.5,290.5,10.5,301.0,280.0,1
0,2,72.0,72.0,6.0,78.0,66.0,1
0,3,191.0,191.0,90.0,281.0,101.0,1
0,4,157.5,157.5,134.5,292.0,23.0,1
0,5,177.0,177.0,77.0,254.0,100.0,1
0,6,177.0,177.0,105.0,282.0,72.0,1
0,7,176.5,176.5,81.5,258.0,95.0,1
1,0,215.0,215.0,75.0,290.0,140.0,0
1,1,150.0,150.0,118.0,268.0,32.0,0
1,2,444.0,444.0,148.0,592.0,296.0,1
1,3,186.5,186.5,103.5,290.0,83.0,0
1,4,407.0,407.0,85.0,492.0,322.0,1
1,5,191.5,191.5,98.5,290.0,93.0,0
1,6,275.5,275.5,90.5,366.0,185.0,0
1,7,52.0,52.0,11.0,63.0,41.0,0
2,0,486.0,486.0,177.0,663.0,309.0,1
2,1,247.5,247.5,21.5,269.0,226.0,0
2,2,59.5,59.5,2.5,62.0,57.0,0
2,3,218.0,218.0,40.0,258.0,178.0,0
2,4,484.5,484.5,175.5,660.0,309.0,1
2,5,325.0,325.0,71.0,396.0,254.0,0
2,6,709.0,709.0,171.0,880.0,538.0,1
2,7,417.0,417.0,111.0,528.0,306.0,0
3,0,595.5,595.5,49.5,645.0,546.0,0
3,1,1047.0,1047.0,821.0,1868.0,226.0,1
3,2,128.0,128.0,77.0,205.0,51.0,0
3,3,515.0,515.0,3.0,518.0,512.0,0
3,4,249.5,249.5,8.5,258.0,241.0,0
3,5,99.0,99.0,52.0,151.0,47.0,0
3,6,260.0,260.0,73.0,333.0,187.0,0
3,7,72.0,72.0,5.0,77.0,67.0,0
4,0,426.5,426.5,192.5,619.0,234.0,0
4,1,512.5,512.5,223.5,736.0,289.0,0
4,2,648.5,648.5,143.5,792.0,505.0,0
4,3,260.5,260.5,15.5,276.0,245.0,0
4,4,72.5,72.5,50.5,123.0,22.0,0
4,5,436.0,436.0,162.0,598.0,274.0,0
4,6,654.5,654.5,95.5,750.0,559.0,0
4,7,583.0,583.0,282.0,865.0,301.0,0
