generation,candidate,score,mean_wake_mse,std_wake_mse,mean_drag,mean_energy,is_best
0,0,-0.04533221200108528,0.04533221200108528,0.0,0.0,0.09132960438728333,1
0,1,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09853365272283554,1
0,2,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08052262663841248,1
0,3,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.095218725502491,1
0,4,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.0785476341843605,1
0,5,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08924653381109238,1
0,6,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09465567022562027,1
0,7,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.1070527732372284,1
0,8,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09056639671325684,1
0,9,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.08963242173194885,1
1,0,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09113254398107529,0
1,1,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.0694444328546524,0
1,2,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.10764048248529434,0
1,3,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.08609416335821152,0
1,4,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09557860344648361,0
1,5,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08147387951612473,0
1,6,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08557984977960587,0
1,7,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.10187768936157227,0
1,8,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.11200237274169922,0
1,9,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.08523685485124588,0
2,0,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.08994534611701965,0
2,1,-0.04407942667603493,0.04407942667603493,0.0,0.0,0.10839243978261948,0
2,2,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09758517146110535,0
2,3,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.0694444328546524,0
2,4,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09525833278894424,0
2,5,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09590157866477966,0
2,6,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.0694444328546524,0
2,7,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09045585989952087,0
2,8,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09157756716012955,0
2,9,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08649340271949768,0
3,0,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09262773394584656,0
3,1,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08689060062170029,0
3,2,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.0694444328546524,0
3,3,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09672052413225174,0
3,4,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08684581518173218,0
3,5,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.10629996657371521,0
3,6,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09367132931947708,0
3,7,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08315624296665192,0
3,8,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.10544512420892715,0
3,9,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.10877854377031326,0
4,0,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09238311648368835,0
4,1,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08870557695627213,0
4,2,-0.0461406446993351,0.0461406446993351,0.0,0.0,0.099488765001297,0
4,3,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08521781116724014,0
